"TIF","BLUEBOOK","TRAVTIME","AGE","CAR_AGE","YOJ","INCOME"
11,14230,14,60,19,12,67350
1,14940,22,43,2,12,91450
4,4010,5,35,11,11,16040
7,15440,32,51,7,15,54029
1,18000,36,50,18,12,114987
1,17430,46,34,8,13,125302
1,8780,33,54,2,12,18756
1,16970,44,37,8,12,107962
1,11200,34,34,2,11,62979
7,18510,48,50,18,8,106953
1,18300,15,53,12,15,77101
7,22420,36,43,2,6,52643
7,17600,25,55,10,12,59163
6,28340,64,53,11,12,130796
1,6000,48,45,6,1,1
6,10590,43,39,14,13,51885
6,14190,42,42,17,12,59946
7,8300,27,34,21,14,34020
4,17330,48,31,8,13,18904
6,8710,29,28,2,14,44078
1,26560,52,43,2,14,37215
6,11130,36,48,15,15,96275
10,19700,29,47,6,12,46282
6,5900,8,44,12,1,1
9,16830,27,33,16,14,79607
1,10030,26,32,2,10,31276
17,22090,16,44,13,18,45489
6,12220,26,35,13,9,72194
6,14130,15,40,13,1,54029
1,15880,30,49,2,6,49245
4,1500,37,52,11,9,51279
6,25810,12,41,16,8,92843
4,16640,38,39,14,11,35082
1,13220,65,56,13,1,1
1,17900,18,49,15,13,115045
1,12080,47,38,10,12,37755
6,29450,38,43,16,18,145354
1,16270,10,63,12,16,121399
1,9280,48,52,7,1,1
1,6450,22,35,8,8,14509
1,23080,40,43,9,14,75339
4,20120,44,41,2,11,32775
4,29270,5,40,6,12,57475
6,4600,62,31,6,13,26521
10,29230,36,53,16,12,107260
6,4040,33,39,6,8,34047
18,12270,40,33,2,15,32365
4,12230,20,40,7,12,16990
1,10520,37,44,2,16,16353
13,21770,30,56,7,17,44761
6,32340,50,45,14,15,63953
13,28560,14,48,11,12,54029
4,14220,24,44,11,12,24061
13,6880,46,33,2,13,20823
4,10040,20,32,9,15,54969
4,2920,13,34,11,9,14195
10,22690,35,38,2,13,2150
1,19510,29,43,16,12,137104
3,33710,31,49,19,10,54029
3,14050,13,46,12,11,79539
1,10250,28,45,21,12,185837
4,33320,22,46,13,15,54029
1,27600,11,63,19,10,74427
6,23640,9,44,2,10,74723
1,1500,25,45,12,12,102394
1,5200,43,37,4,13,54029
10,4860,49,35,2,12,29372
13,9640,14,48,2,13,31774
10,6400,42,49,15,1,1
10,22050,35,44,2,16,139331
1,22830,42,50,15,14,163297
13,12380,50,30,7,11,17456
6,14000,61,54,12,12,71008
1,13140,32,53,2,7,38037
1,15360,21,53,9,14,41200
6,15160,15,29,2,11,38043
6,19380,5,55,14,8,45788
1,5760,21,55,12,12,84965
1,18110,36,34,16,12,51566
9,11740,25,34,2,1,1
7,13800,24,36,18,12,105385
4,12230,59,41,10,11,66266
13,23350,17,46,18,8,54029
13,23390,18,42,15,10,76227
1,8080,26,38,9,17,7529
1,15090,14,33,6,1,1
7,12850,48,37,7,1,54029
1,21690,63,42,15,10,32798
1,12840,50,47,11,12,44706
1,15120,36,52,11,10,68993
16,30150,8,43,2,12,132562
7,11180,23,66,17,18,96831
4,7900,33,52,6,8,64015
4,7050,40,38,11,8,54029
1,21320,48,47,14,15,54029
1,20870,35,61,22,18,41858
3,32690,34,41,19,9,126469
5,13050,53,40,7,10,75517
6,19540,44,52,12,17,76955
6,24240,21,58,18,9,150353
7,5260,36,38,2,13,37581
1,7930,10,41,2,16,23345
1,23640,29,37,11,17,43291
9,11220,24,48,2,11,48738
18,25100,26,47,10,13,64260
1,7500,5,41,2,7,12542
4,36120,40,47,12,13,104272
1,20210,49,44,17,12,67279
13,16080,40,46,8,11,104991
7,18160,37,49,10,7,89949
1,28180,35,33,5,13,111428
3,18470,54,62,16,7,107735
11,5700,47,42,2,1,1
1,11160,38,36,2,13,25283
7,12800,24,47,15,12,18550
13,17300,11,50,8,15,54029
1,11620,32,51,2,10,50167
4,20240,43,46,17,9,73873
1,20010,60,50,9,15,73344
1,13130,35,43,21,16,49850
4,15760,28,39,2,17,12055
12,14530,50,43,2,15,48185
6,20350,40,60,16,19,78937
4,7000,33,55,2,1,1
10,5500,36,40,11,11,78915
7,9570,49,39,14,7,77126
6,8490,29,38,13,15,25836
7,11940,31,42,19,13,47661
4,24930,16,42,15,11,123144
11,21990,24,49,2,9,22060
7,10170,26,36,15,13,50751
7,12180,35,34,8,11,23572
7,18110,29,49,2,1,1
10,6040,39,52,2,13,35632
10,11650,16,53,8,13,54029
4,27890,45,55,15,15,55410
8,18120,21,40,9,16,48068
1,12490,21,45,11,13,64868
13,15920,14,80,11,24,97717
10,8460,48,48,2,11,39614
6,10500,52,40,2,12,49781
4,24260,31,45,19,12,60846
1,13160,45,42,18,13,136345
6,14960,55,36,5,8,70314
7,34510,9,45,2,16,23774
6,21660,28,52,12,12,115714
1,31390,17,41,2,9,55365
10,11300,37,36,8,15,27694
13,27890,29,56,10,1,1
10,1500,34,53,8,1,1
6,1500,12,39,8,13,32937
13,11530,31,38,10,12,33152
4,16510,36,45,2,1,1
10,8560,73,46,10,15,24576
10,5800,49,43,6,17,32547
6,18820,21,54,10,1,1
10,23320,44,55,20,17,163159
1,13420,37,61,2,11,58213
4,9930,36,53,6,16,84346
7,27020,45,54,7,16,107809
7,7470,42,39,2,13,59686
