"TARGET_FLAG","TARGET_AMT","KIDSDRIV","AGE","HOMEKIDS","YOJ","PARENT1","TRAVTIME","CAR_USE","TIF","RED_CAR","CLM_FREQ","REVOKED","MVR_PTS","CAR_AGE","INCOME","HOME_VAL","BLUEBOOK","OLDCLAIM","MSTATUS","SEX","EDUCATION","JOB","CAR_TYPE","URBANICITY"
0,0,0,60,0,11,"No",14,"Private",11,"yes",2,"No",3,18,67349,0,14230,4461,"No","M","PhD","Professional","Minivan","Highly Urban/ Urban"
0,0,0,43,0,11,"No",22,"Commercial",1,"yes",0,"No",0,1,91449,257252,14940,0,"No","M","High School","Blue Collar","Minivan","Highly Urban/ Urban"
0,0,0,35,1,10,"No",5,"Private",4,"no",2,"No",3,10,16039,124191,4010,38690,"Yes","F","High School","Clerical","SUV","Highly Urban/ Urban"
0,0,0,51,0,14,"No",32,"Private",7,"yes",0,"No",0,6,54028,306251,15440,0,"Yes","M","<High School","Blue Collar","Minivan","Highly Urban/ Urban"
0,0,0,50,0,11,"No",36,"Private",1,"no",2,"Yes",3,17,114986,243925,18000,19217,"Yes","F","PhD","Doctor","SUV","Highly Urban/ Urban"
1,2946,0,34,1,12,"Yes",46,"Commercial",1,"no",0,"No",0,7,125301,0,17430,0,"No","F","Bachelors","Blue Collar","Sports Car","Highly Urban/ Urban"
0,0,0,54,0,11,"No",33,"Private",1,"no",0,"No",0,1,18755,161160,8780,0,"Yes","F","<High School","Blue Collar","SUV","Highly Urban/ Urban"
1,4021,1,37,2,11,"No",44,"Commercial",1,"yes",1,"Yes",10,7,107961,333680,16970,2374,"Yes","M","Bachelors","Blue Collar","Van","Highly Urban/ Urban"
1,2501,0,34,0,10,"No",34,"Private",1,"no",0,"No",0,1,62978,0,11200,0,"No","F","Bachelors","Clerical","SUV","Highly Urban/ Urban"
0,0,0,50,0,7,"No",48,"Commercial",7,"no",0,"No",1,17,106952,0,18510,0,"No","M","Bachelors","Professional","Van","Highly Rural/ Rural"
1,6077,0,53,0,14,"No",15,"Private",1,"no",0,"No",0,11,77100,0,18300,0,"No","F","Masters","Lawyer","Sports Car","Highly Urban/ Urban"
0,0,0,43,0,5,"No",36,"Private",7,"no",0,"No",0,1,52642,209970,22420,0,"Yes","F","Masters","Professional","Minivan","Highly Rural/ Rural"
0,0,0,55,0,11,"No",25,"Commercial",7,"yes",2,"Yes",3,9,59162,180232,17600,5028,"Yes","M","Bachelors","Manager","Van","Highly Urban/ Urban"
1,1267,0,53,0,11,"No",64,"Commercial",6,"yes",0,"No",3,10,130795,0,28340,0,"No","M","PhD","","Panel Truck","Highly Urban/ Urban"
1,2920.16732,0,45,0,0,"No",48,"Private",1,"no",0,"No",3,5,0,106859,6000,0,"Yes","F","<High School","Home Maker","SUV","Highly Urban/ Urban"
0,0,0,39,3,12,"Yes",43,"Private",6,"no",0,"No",0,13,51884,180951,10590,0,"No","F","Bachelors","Clerical","SUV","Highly Rural/ Rural"
0,0,0,42,0,11,"No",42,"Private",6,"no",0,"No",0,16,59945,192207,14190,0,"Yes","M","Masters","Lawyer","Minivan","Highly Urban/ Urban"
0,0,0,34,3,13,"No",27,"Private",7,"no",0,"No",0,20,34019,91875,8300,0,"Yes","F","Masters","Lawyer","SUV","Highly Urban/ Urban"
0,0,0,31,2,12,"No",48,"Private",4,"no",0,"No",0,7,18903,93797,17330,0,"Yes","F","<High School","Clerical","Minivan","Highly Urban/ Urban"
1,6857,0,28,1,13,"No",29,"Commercial",6,"no",2,"No",0,1,44077,170598,8710,8935,"Yes","F","High School","Blue Collar","SUV","Highly Urban/ Urban"
1,3627,0,43,0,13,"No",52,"Commercial",1,"yes",0,"No",3,1,37214,161160,26560,0,"Yes","M","<High School","Blue Collar","Panel Truck","Highly Urban/ Urban"
0,0,0,48,0,14,"No",36,"Private",6,"no",1,"No",5,14,96274,282904,11130,8250,"Yes","F","Masters","Lawyer","SUV","Highly Urban/ Urban"
0,0,0,47,0,11,"No",29,"Private",10,"no",0,"No",1,5,46281,0,19700,0,"No","F","<High School","Blue Collar","Minivan","Highly Urban/ Urban"
0,0,2,44,2,0,"No",8,"Private",6,"no",3,"No",0,11,0,82344,5900,3338,"Yes","F","High School","Home Maker","SUV","Highly Urban/ Urban"
0,0,0,33,1,13,"No",27,"Private",9,"no",0,"No",2,15,79606,225962,16830,0,"Yes","F","Bachelors","Professional","SUV","Highly Rural/ Rural"
1,4486,0,32,1,9,"No",26,"Private",1,"no",0,"No",0,1,31275,118160,10030,0,"Yes","F","High School","Clerical","SUV","Highly Urban/ Urban"
0,0,1,44,2,17,"No",16,"Private",17,"no",0,"No",0,12,45488,219378,22090,0,"Yes","M","Bachelors","Manager","Minivan","Highly Urban/ Urban"
0,0,0,35,0,8,"No",26,"Private",6,"no",0,"No",3,12,72193,0,12220,0,"No","F","Bachelors","Clerical","SUV","Highly Urban/ Urban"
0,0,0,40,2,0,"No",15,"Private",6,"no",2,"Yes",4,12,54028,98777,14130,38127,"Yes","F","Masters","Home Maker","SUV","Highly Rural/ Rural"
0,0,0,49,0,5,"No",30,"Private",1,"no",0,"No",1,1,49244,163444,15880,0,"Yes","M","Bachelors","Clerical","Minivan","Highly Urban/ Urban"
0,0,0,52,0,8,"No",37,"Private",4,"no",0,"No",1,10,51278,230340,1500,0,"Yes","F","Bachelors","Professional","SUV","Highly Urban/ Urban"
0,0,0,41,0,7,"No",12,"Commercial",6,"no",2,"No",5,15,92842,286113,25810,1431,"No","M","Masters","","Panel Truck","Highly Urban/ Urban"
0,0,0,39,0,10,"No",38,"Commercial",4,"yes",0,"No",0,13,35081,202839,16640,0,"Yes","M","Bachelors","Blue Collar","Van","Highly Urban/ Urban"
0,0,0,56,0,0,"No",65,"Private",1,"no",0,"No",0,12,0,63827,13220,0,"Yes","F","PhD","Home Maker","Minivan","Highly Rural/ Rural"
0,0,0,49,0,12,"No",18,"Private",1,"no",0,"No",0,14,115044,311980,17900,0,"No","F","PhD","Doctor","Minivan","Highly Urban/ Urban"
0,0,0,38,0,11,"No",47,"Private",1,"no",0,"No",2,9,37754,138823,12080,0,"Yes","F","High School","Clerical","SUV","Highly Rural/ Rural"
0,0,0,43,2,17,"No",38,"Commercial",6,"no",0,"No",0,15,145353,418785,29450,0,"Yes","F","Masters","","Van","Highly Urban/ Urban"
0,0,0,63,0,15,"No",10,"Private",1,"no",0,"No",0,11,121398,343410,16270,0,"Yes","F","PhD","Doctor","SUV","Highly Urban/ Urban"
0,0,0,52,0,0,"No",48,"Commercial",1,"no",0,"No",1,6,0,87925,9280,0,"No","F","High School","Student","SUV","Highly Rural/ Rural"
0,0,0,35,0,7,"No",22,"Commercial",1,"no",0,"No",0,7,14508,0,6450,0,"Yes","M","Bachelors","Student","Pickup","Highly Urban/ Urban"
0,0,0,43,0,13,"No",40,"Private",1,"no",0,"No",0,8,75338,270555,23080,0,"Yes","F","Bachelors","Manager","Sports Car","Highly Urban/ Urban"
0,0,0,41,0,10,"No",44,"Private",4,"no",0,"No",0,1,32774,0,20120,0,"No","F","High School","Clerical","Minivan","Highly Rural/ Rural"
0,0,0,40,0,11,"No",5,"Commercial",4,"yes",0,"No",1,5,57474,186418,29270,0,"Yes","M","Bachelors","Clerical","Panel Truck","Highly Urban/ Urban"
0,0,0,31,1,12,"No",62,"Commercial",6,"yes",0,"No",2,5,26520,154493,4600,0,"Yes","M","Bachelors","Student","Minivan","Highly Urban/ Urban"
0,0,0,47,0,8,"No",35,"Commercial",6,"no",2,"No",5,NA,18444,0,19450,2981,"Yes","F","High School","Student","SUV","Highly Urban/ Urban"
0,0,0,53,0,11,"No",36,"Private",10,"yes",0,"No",0,15,107259,343700,29230,0,"Yes","M","Masters","Professional","Minivan","Highly Urban/ Urban"
0,0,0,39,3,7,"No",33,"Private",6,"no",0,"No",0,5,34046,183383,4040,0,"Yes","F","High School","Clerical","SUV","Highly Rural/ Rural"
0,0,0,33,3,14,"No",40,"Private",18,"yes",0,"No",3,1,32364,152894,12270,0,"Yes","M","<High School","Clerical","Minivan","Highly Urban/ Urban"
0,0,0,59,0,5,"No",10,"Private",1,"yes",0,"No",0,NA,106775,161160,31930,0,"No","M","Masters","Lawyer","Minivan","Highly Urban/ Urban"
1,6100,0,40,0,11,"No",20,"Commercial",4,"yes",1,"Yes",13,6,16989,0,12230,26104,"No","M","<High School","Blue Collar","Pickup","Highly Urban/ Urban"
1,8840.6835683,0,44,2,15,"No",37,"Private",1,"no",1,"No",1,1,16352,134164,10520,7838,"Yes","F","High School","Home Maker","SUV","Highly Urban/ Urban"
0,0,0,56,0,16,"No",30,"Private",13,"yes",0,"No",0,6,44760,164852,21770,0,"Yes","M","Bachelors","Manager","Minivan","Highly Urban/ Urban"
1,2117,1,45,1,14,"No",50,"Private",6,"no",2,"Yes",0,13,63952,196368,32340,27877,"Yes","F","Masters","Lawyer","Van","Highly Urban/ Urban"
0,0,0,48,0,11,"No",14,"Commercial",13,"yes",5,"No",1,10,54028,252896,28560,1554,"Yes","M","Bachelors","Professional","Panel Truck","Highly Urban/ Urban"
1,3532,1,44,2,11,"Yes",24,"Private",4,"no",0,"No",0,10,24060,0,14220,0,"No","M","Bachelors","Clerical","Minivan","Highly Urban/ Urban"
1,866,0,33,4,12,"No",46,"Private",13,"no",3,"No",0,1,20822,76022,6880,7896,"Yes","F","High School","Home Maker","SUV","Highly Urban/ Urban"
0,0,0,32,3,14,"No",20,"Private",4,"no",0,"Yes",0,8,54968,146784,10040,0,"Yes","F","High School","Professional","SUV","Highly Urban/ Urban"
1,7786,0,34,0,8,"No",13,"Private",4,"no",3,"Yes",2,10,14194,87034,2920,24767,"No","F","<High School","Clerical","Sports Car","Highly Urban/ Urban"
0,0,1,38,4,12,"No",35,"Private",10,"no",0,"No",2,1,2149,72889,22690,0,"Yes","F","<High School","Home Maker","Pickup","Highly Urban/ Urban"
1,4148,2,43,3,11,"Yes",29,"Private",1,"no",3,"No",0,15,137103,0,19510,8890,"No","F","Masters","Manager","Sports Car","Highly Urban/ Urban"
0,0,0,49,0,9,"No",31,"Commercial",3,"no",2,"Yes",2,18,54028,0,33710,34351,"No","M","PhD","","Panel Truck","Highly Urban/ Urban"
0,0,0,46,0,10,"No",13,"Private",3,"no",0,"Yes",2,11,79538,0,14050,0,"No","F","Bachelors","Manager","Minivan","Highly Urban/ Urban"
0,0,0,45,1,11,"No",28,"Private",1,"no",3,"No",6,20,185836,509115,10250,4307,"Yes","F","PhD","Lawyer","SUV","Highly Urban/ Urban"
0,0,0,46,0,14,"No",22,"Commercial",4,"yes",0,"Yes",1,12,54028,397661,33320,0,"No","M","Masters","","Panel Truck","Highly Urban/ Urban"
0,0,0,45,0,11,"No",30,"Commercial",13,"yes",2,"No",0,NA,61931,213530,10910,25106,"Yes","M","Masters","","Pickup","Highly Urban/ Urban"
0,0,0,63,0,9,"No",11,"Private",1,"no",0,"No",0,18,74426,0,27600,0,"No","F","PhD","Doctor","SUV","Highly Urban/ Urban"
0,0,0,44,0,9,"No",9,"Private",6,"no",0,"No",0,1,74722,231034,23640,0,"Yes","F","Bachelors","Professional","Minivan","Highly Urban/ Urban"
1,2371,1,45,2,11,"Yes",25,"Private",1,"yes",0,"No",2,11,102393,0,1500,0,"No","M","Bachelors","Professional","Minivan","Highly Urban/ Urban"
0,0,0,48,0,0,"No",50,"Private",3,"no",2,"No",3,NA,0,98920,8660,8363,"Yes","F","High School","Home Maker","Sports Car","Highly Urban/ Urban"
1,4804,1,37,2,12,"No",43,"Commercial",1,"no",1,"No",1,3,54028,205211,5200,2718,"Yes","F","Bachelors","Blue Collar","SUV","Highly Urban/ Urban"
0,0,0,35,0,11,"No",49,"Private",10,"no",0,"No",0,1,29371,0,4860,0,"No","F","<High School","Clerical","Sports Car","Highly Urban/ Urban"
1,1354,0,48,0,12,"No",14,"Commercial",13,"no",1,"No",4,1,31773,165090,9640,1212,"Yes","M","High School","Clerical","Pickup","Highly Urban/ Urban"
0,0,0,49,0,0,"No",42,"Private",10,"no",1,"No",6,14,0,159389,6400,9115,"Yes","F","Masters","Professional","SUV","Highly Urban/ Urban"
0,0,0,44,2,15,"Yes",35,"Commercial",10,"no",0,"No",0,1,139330,316900,22050,0,"No","F","High School","Blue Collar","Sports Car","Highly Rural/ Rural"
0,0,0,50,0,13,"No",42,"Private",1,"no",0,"No",0,14,163296,447616,22830,0,"No","F","PhD","Lawyer","Minivan","Highly Rural/ Rural"
0,0,0,30,1,10,"Yes",50,"Private",13,"no",0,"No",0,6,17455,140978,12380,0,"No","F","<High School","Blue Collar","Minivan","Highly Rural/ Rural"
0,0,0,54,0,11,"No",61,"Private",6,"no",0,"No",0,11,71007,240833,14000,0,"Yes","M","Bachelors","Manager","Minivan","Highly Urban/ Urban"
1,2425,0,53,0,6,"No",32,"Commercial",1,"no",0,"No",4,1,38036,153381,13140,0,"Yes","F","High School","Blue Collar","SUV","Highly Urban/ Urban"
0,0,0,53,0,13,"No",21,"Private",1,"no",0,"No",0,8,41199,150933,15360,0,"No","F","Bachelors","Manager","SUV","Highly Urban/ Urban"
0,0,0,29,1,10,"Yes",15,"Private",6,"no",0,"No",0,1,38042,202967,15160,0,"No","M","High School","Professional","Minivan","Highly Urban/ Urban"
0,0,0,58,0,11,"No",23,"Private",6,"no",0,"No",0,NA,91223,0,10620,0,"No","M","Masters","Lawyer","Pickup","Highly Urban/ Urban"
0,0,0,55,0,7,"No",5,"Private",6,"no",0,"No",0,13,45787,173196,19380,0,"Yes","F","Masters","Lawyer","Minivan","Highly Urban/ Urban"
0,0,0,55,0,11,"No",21,"Commercial",1,"yes",2,"No",6,11,84964,227091,5760,969,"Yes","M","Bachelors","Blue Collar","Pickup","Highly Urban/ Urban"
0,0,0,56,0,8,"No",28,"Private",4,"no",0,"No",0,NA,38240,190675,16220,0,"Yes","F","High School","Clerical","SUV","Highly Rural/ Rural"
0,0,0,34,0,11,"No",36,"Private",1,"yes",2,"No",3,15,51565,0,18110,759,"No","M","Masters","Lawyer","Van","Highly Urban/ Urban"
